,Location,Price,Area,Longitude,Latitude
0,"JlCisarantenArcamanikCisarantenKulon,Bandung",Rp550.000.000,Bandung,107.6049539,-6.9344694
1,"TanahKusir,JakartaSelatan",Rp5.500.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
2,"Cilandak,JakartaSelatan",Rp3.900.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
3,"Indonesia,JakartaSelatan,JalanBangkaIIIBangka,JakartaSelatan",Rp5.500.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
4,"Serpong,TangerangSelatan",Rp700.000.000,Tangerang,106.6384468,-6.1760311
5,"KabBandungCibeunyingKidul,Bandung",Rp180.000.000,Bandung,107.6049539,-6.9344694
6,"TanjungTanjungMerdeka,Makassar",Rp4.500.000.000,Makassar,119.4124282,-5.1342962
7,"Kel.KebonBaru,Kec.TebetTebet,JakartaSelatan",Rp575.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
8,"Jatihandap,Bandung",Rp335.000.000,Bandung,107.6049539,-6.9344694
9,"Wanasari,Cibitung,Cikarang,BekasiCibitung,Bekasi",Rp598.000.000,Bekasi,106.9945444,-6.2349858
10,"1KmJungleFestMulyaHarja,Bogor",Rp337.000.000,Bogor,106.7972421,-6.5962986
11,"Jl.RayaPuncak-SukamulyaCipanas,Cianjur",Rp325.000.000,Cianjur,107.1374006,-6.824096
12,"PasarMingguPasarMinggu,JakartaSelatan",Rp1.500.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
13,"SuteraPalmyraAlamSuteraAlamSutera,TangerangSelatan",Rp2.747.000.000,Tangerang,106.6384468,-6.1760311
14,"Jl.Ariodillah,no.3630kampung20IlirIII(Candiwalang)20IlirD.III,Palembang",Rp3.500.000.000,Palembang,104.756857,-2.9888297
15,JlteluklangsaciangsanaBogor,Rp770.000.000,Bogor,106.7972421,-6.5962986
16,"TebetBarat,JakartaSelatan",Rp3.200.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
17,JlteluklangsacibuburBogor,Rp882.500.020,Bogor,106.7972421,-6.5962986
